Subject_ID,Subject_Description,Keywords
2217,Models in teaching,"pedagogy, Models in teaching"
2219,Transport in vicinity,"access, bus, metro, mobility, public transport, road and rail network, train, transfer, Transport in vicinity"
2220,Pace of life in nation,"free time, relax, hurry, time stress, tense, Pace of life in nation"
2221,Hedonism,"pleasure seeking, Hedonism"
2222,Trend difference in inequality within nations across nations,"convergence, divergence, Trend difference in inequality within nations across nations"
2223,Attitudes to society,"ideology, Attitudes to society"
2224,Attitudes to people,", Attitudes to people"
2225,Attitudes to women,"gender equality, emancipation, sex role attitudes, Attitudes to women"
2226,Art of living in nations,"coping, lifestyle, Art of living in nations"
2227,Uses of happiness measures,"applications, Uses of happiness measures"
2228,Smoking in nation,"health behavior, stimulants, Smoking in nation"
2229,Job searching,"job application, job seeking, Job searching"
2230,Decentralization in region,", Decentralization in region"
2231,Happiness of males/females in nations,"gender, sex, Happiness of males/females in nations"
2232,Trend inequality in happiness across nations,"international convergence, divergence, Trend inequality in happiness across nations"
2233,Political events,"regime shift, Political events"
2234,Attitude to entitlements,"rights, fairness, Attitude to entitlements"
2235,Effects on response behavior,"measurement bias, Effects on response behavior"
2236,Value-behavior fit,", Value-behavior fit"
2237,Openness to experience,"experimental avoidance, denial, Openness to experience"
2238,Depression in nation,"sadness, melancholy, season affective disorder, Depression in nation"
2239,Valuation of autonomy in nation,"freedom, self direction, Valuation of autonomy in nation"
2240,Political change in nation,"regime shift, revolution, restauration, Political change in nation"
2241,Meditation. Mindfulness,"mindful, Meditation. Mindfulness"
2242,Economy in the region,"business, financial, market, production, subsistence, trade, wealth, Economy in the region"
2243,Economic growth/decline in region,"regional development, Economic growth/decline in region"
2244,Economic innovation in region,"creativity, development, Economic innovation in region"
2245,Strength,"power, Strength"
2246,Effects on sustainability,"ecology, environment, Effects on sustainability"
2247,Relative impact of happiness and unhappiness,", Relative impact of happiness and unhappiness"
2248,Relative wealth of nation,"affluence, development, rich, Relative wealth of nation"
2249,Effects on conditions for happiness,"bolster, self-perpetuate, sustain, mediate, Effects on conditions for happiness"
2250,Living in a Shelter,"protected housing, Living in a Shelter"
2251,Network characteristics,"density, size, number, intimacy, reciprocity, Network characteristics"
2252,Living in Cloister,"convent, monastery, Living in Cloister"
2253,Voting,"election, Voting"
2254,Happiness and Political Behavior,", Happiness and Political Behavior"
2255,Morning/evening type,"owl, lark, Morning/evening type"
2256,Religious practices,"church attendance, pray, bible reading, meditation, Religious practices"
2257,Loss of social support,"bereavement, isolation, broken ties, Loss of social support"
2258,Migration of intimates,", Migration of intimates"
2259,Media use,"digital, print, sound, Media use"
2260,Leisure activities,"hobby, interests, pastime, Leisure activities"
2261,Source of income,"revenue, Source of income"
2262,Urban green,"park, garden, trees, Urban green"
2263,Loss aversion,", Loss aversion"
2264,Rumination (ICD code F42),"overthinking, worry, Rumination (ICD code F42)"
2265,Summer/winter time,"time schedule, Summer/winter time"
2266,Time change,"routine, Time change"
2267,Time regime in nation,"season, schedule, Time regime in nation"
2268,"Pensions, savings","assets, Pensions, savings"
2269,Social security,"benefits, dole, Social security"
2270,Work,"business, employment, labor,  job, Work"
2271,Living in a Nursing home,"residential care, old age home, hospital, Living in a Nursing home"
2272,Self-reflection,"self awareness, Self-reflection"
2273,Socializing,"chatting, talking, tweeting, visits, Socializing"
2274,Collective events,", Collective events"
2275,Individual life events,"event, Individual life events"
2276,Bereavement,"death, widowhood, loss, still birth, Bereavement"
2277,Effects on conflict/peace,"harmony, consensus seeking, negotiation style, Effects on conflict/peace"
2278,Environment in the region,"green, nature, sustainable, Environment in the region"
2279,Attachment style,"bonding, Attachment style"
2280,Difference expected and experienced happiness,"affective forecast, Difference expected and experienced happiness"
2281,Happiness level in the world as a whole,"global,  world wide, Happiness level in the world as a whole"
2282,Health in vicinity,"public health, illness, Health in vicinity"
2283,Price level in nation,"costs of living, Price level in nation"
2284,Eco-energy in region,"green economy, sustainable, Eco-energy in region"
2285,Morality in nation,"ethical, fair, just, Morality in nation"
2286,Luxury,"conspicuous consumption, quality, expensive, Luxury"
2287,Attitude to competition,"market orientation, liberalism, Attitude to competition"
2288,Sex life in nation,"free sex, sexual pattern, liberal, restrictive, Sex life in nation"
2289,Experiences,"feelings, awareness, Experiences"
2290,Cinema,"film, movie, Cinema"
2291,Military service,"enlistment, Military service"
2292,Amenities in region,"livability, attractions, provisions, Amenities in region"
2293,Job change,", Job change"
2294,Maternity leave in nation,"pregnancy leave, Maternity leave in nation"
2295,Foreign aid by nation,"development aid, donor, recipient, Foreign aid by nation"
2296,Characteristics of kin,", Characteristics of kin"
2297,Life suffering,"hardship, Life suffering"
2298,Analysis of effects on happiness,"cost benefit analysis, monetarization, Analysis of effects on happiness"
2300,Environment,"sustainability, protection, Environment"
2301,Family,"family service, Family"
2302,Community,"local society, social capital, Community"
2303,Health care,", Health care"
2304,"Income, wealth","standard of living, Income, wealth"
2305,Value climate,"public morality, Value climate"
2306,Work,"employment, work conditions, Work"
2307,Child care policy,"family, day care, baby care, juvenile, youth protection, Child care policy"
2308,Foreign aid,"development aid, bilateral, multilateral aid, Foreign aid"
2309,Welfare,"social insurance, subsidies, Welfare"
2310,Taxation,"fiscal, Taxation"
2311,Relational pattern in region,"stem family, nuclear family, Relational pattern in region"
2312,Burnout (ICD code Z73),"break down, mental exhaustion, Burnout (ICD code Z73)"
2313,"Frail, vulnerable","stressed, Frail, vulnerable"
2314,Pro-active,"initiative, flexible, daring, bold, vanguard, Pro-active"
2315,Disturbing interruptions,"distraction, Disturbing interruptions"
2316,Pension system in nation,"income insurance, compulsory saving, state pension, Pension system in nation"
2317,Cardinal treatment of ordinal measurement,"equidistance, Cardinal treatment of ordinal measurement"
2318,Happiness in historical times,"happiness in earlier generations, Happiness in historical times"
2319,Critics of empirical happiness research,"disbelief, doubt, opposition, question, skeptic, Critics of empirical happiness research"
2320,Differences across personality types,"character, Differences across personality types"
2321,Conscientious,"cognizant, responsible, Conscientious"
2322,Birth order,"Benjamin, Birth order"
2323,Change stock market prices in nation,"share value, Change stock market prices in nation"
2324,(non)-linearity of statistical association,"L shaped, curvilinear, convex, U shaped, (non)-linearity of statistical association"
2325,Stress of events,"burden, Stress of events"
2326,Helping behavior,"altruism, Helping behavior"
2327,Happiness level in quarters in cities,"parts of cities, districts, municipality, neighborhood, ward, Happiness level in quarters in cities"
2328,Reminiscence of events,"memories, recall, Reminiscence of events"
2329,Perceived freedom,"opportunity to choose, Perceived freedom"
2330,Attitudes to school,", Attitudes to school"
2331,Coping with unhappiness,", Coping with unhappiness"
2332,Meaning of goals,"calling, mission, importance, Meaning of goals"
2333,Cost-benefit analysis and policy evaluation,"hedonic planning, hedonic calculus, effect study, Cost-benefit analysis and policy evaluation"
2334,Taxation,"fiscal, collective expenditures, Taxation"
2335,Work,"employment, labor, Work"
2336,Role of government,"government intervention, public policy, Role of government"
2337,Welfare,"social security, social insurance, Welfare"
2338,Education,"schooling, human capital, intelligence, Education"
2339,Childcare,"day care, baby care, juvenile, youth protection, Childcare"
2340,Medical technology,", Medical technology"
2341,Foreign aid,"development aid,  bilateral, multilateral aid, Foreign aid"
2342,Family,"family service, Family"
2343,Health care,"prevention, medicine, Health care"
2344,Mental health care,"therapy, prevention, Mental health care"
2345,Mental health care,"prevention, treatment, Mental health care"
2346,Economy,", Economy"
2347,Economy,", Economy"
2348,Home-ownership,", Home-ownership"
2349,Social values,"altruism, solidarity, trust, Social values"
2350,Tourism in region,"attractions, recreation, museum, parc, sight seeing, travel, vacationing, Tourism in region"
2351,Effects on volunteer work,"citizenship, Effects on volunteer work"
2352,"Belonging, sense of","connectiveness, Belonging, sense of"
2353,Alcohol,"drinking, Alcohol"
2354,Drugs,"hallucinogenic, amphetamine, heroine, marihuana, pot, substance, Drugs"
2355,Tobacco,"smoking, Tobacco"
2356,Alcohol use in nation,"drinking, Alcohol use in nation"
2357,"Reduction of smoking, drinking","abstinence, preventive health care, healthy living, Reduction of smoking, drinking"
2359,Compulsive disorder (ICD code F42),"obsessive, rigid, Compulsive disorder (ICD code F42)"
2360,Renewable energy plants in vicinity,"local biomass, geothermal, hydroelectric, solar, windmill, Renewable energy plants in vicinity"
2361,Tourism in vicinity,";local hospitality, hotel, recreation, sight seeing, monuments, visitors, Tourism in vicinity"
2362,Use of anti-depressives in nation,"medication, medicine, Use of anti-depressives in nation"
2363,Perceived happiness of others,", Perceived happiness of others"
2364,Economic events,"boom, crisis, depression, inflation, deflation, Economic events"
2365,Traffic jams in vicinity,"rush our, queue, Traffic jams in vicinity"
2366,Predictability of life events,"stability, shocks, uncertainty, Predictability of life events"
2367,Variability of weather conditions,"drought, storm, climate change, Variability of weather conditions"
2368,Personality in region,"personality type, Personality in region"
2369,Sustainable energy in nation,"solar, wind, water, Sustainable energy in nation"
2371,Pollution in nation,"smog, contamination, toxic waste, litter, noise, Pollution in nation"
2374,Happiness in age groups  in nations,"generation, cohort, Happiness in age groups  in nations"
2375,Happiness in young adults in nations,"twenties, Happiness in young adults in nations"
2376,Formal/informal employment,"black work, shadow economy, tenure, Formal/informal employment"
2377,Belief in afterlife,"heaven, reincarnation, Belief in afterlife"
2378,Stability of nation ranking of happiness,"continuity of relative position, Stability of nation ranking of happiness"
2379,Effects on consumer behavior,"buying, life style, Effects on consumer behavior"
2380,Hero attachment,"idol, fan, supporter, admiration, Hero attachment"
2381,Belief in social progress,"progress optimism, Belief in social progress"
2382,Conformism in nation,"obedience, autonomy, self direction, Conformism in nation"
2383,Relation therapy,"couple training, marriage therapy, Relation therapy"
2384,Ethnic diversity in region,"segregation, separation, ghetto, isolation, Ethnic diversity in region"
2385,Expected income,"financial prospects, Expected income"
2386,Noise in vicinity,"neighbor rumor, event, Noise in vicinity"
2387,Most/least happy types in nations,"winners, losers, Most/least happy types in nations"
2388,Fear of crime,"unsafe, Fear of crime"
2389,Financial good/bad luck,"windfall, Financial good/bad luck"
2390,Difference in effects of happiness within nations,"contingencies, Difference in effects of happiness within nations"
2391,Effects on helping,"altruism, Effects on helping"
2392,Crime rate in nation,", Crime rate in nation"
2393,Experience/material consumption,"hedonic consumption, Experience/material consumption"
2395,Happiness and Pro-social Behavior,"altruistic, nice, love, support, Happiness and Pro-social Behavior"
2396,What people seek happiness?,"happiness seeker, hedonist, What people seek happiness?"
2397,What people do to get happier,"ways to happiness, happiness strategies, hedonic strategy, What people do to get happier"
2398,Well-being of spouse,"health, happiness, quality of life, Well-being of spouse"
2399,Expats,"expatriate, temporary migrant, migrant work, Expats"
2400,Legal system in nation,"juridical, law enforcement, Legal system in nation"
2401,Property rights in nation,"having, owner, posses, proprietor, Property rights in nation"
2402,Rule of law in nation,"law enforcement, fair, just, Rule of law in nation"
2403,Immigrants in region,"influx, migrants, mobility, Immigrants in region"
2404,Migration aspiration,"migration intention, wish to leave country, Migration aspiration"
2405,Inequality of happiness,"divergence, dispersion, spread, standard deviation, Inequality of happiness"
2406,Inequality of happiness in nations,", Inequality of happiness in nations"
2407,Inequality of happiness in regions,", Inequality of happiness in regions"
2408,Inequality of happiness in publics,", Inequality of happiness in publics"
2409,Fear of happiness in nation,"happiness anxiety, Fear of happiness in nation"
2410,Psycho-education,"coping, counseling, empowerment, life skills training, Psycho-education"
2411,Rigidity,"cognitive closure, flexibility, ambiguity tolerance, Rigidity"
2412,Demography in region,"population composition, Demography in region"
2413,Population density in region,"crowding, people per square kilometer, Population density in region"
2414,Population density  in nation,"crowding, people per square kilometer, Population density  in nation"
2416,Justice,"law, legal juridical, court, judge, rule, Justice"
2417,How do people interpret questions on happiness?,"interpretation, meaning, How do people interpret questions on happiness?"
2418,Difference between expected happiness and choice,"behavioral relevance of happiness, Difference between expected happiness and choice"
2419,Effects on choice,", Effects on choice"
2420,Suicide rate in region,", Suicide rate in region"
2421,Pain in nation,"ache, hurt, Pain in nation"
2422,Emotional expressiveness,"open, reserved, Emotional expressiveness"
2423,Terrorist attack,", Terrorist attack"
2424,Effects on ecological behavior,"green consumption, ecological footprint, Effects on ecological behavior"
2426,Rating of mood from word use,"valence of words, Rating of mood from word use"
2427,Living in an Orphanage,"orphan, foster care, Living in an Orphanage"
2428,Foster child,", Foster child"
2429,Economic investment in region,"development, venture, Economic investment in region"
2430,Perceived control over one's happiness,"attribution, luck, fate, Perceived control over one's happiness"
2431,Happiness and Choice behavior,"decisive, Happiness and Choice behavior"
2432,Industry in vicinity,"business, plants, trade, Industry in vicinity"
2433,Politics in region,"governance, legislation, policy, rule, Politics in region"
2434,Public goods in region,"amenities, collective care, communal, free facilities, third sector, government services, welfare, Public goods in region"
2435,Safety in region,"security, protection, danger, Safety in region"
2436,Culture in region,"beliefs, civilization, custom, ideas, values, national character, Culture in region"
2437,Cohesion in region,"social capital, social stability, anarchy, disintegration, Cohesion in region"
2440,Livability of region,"apparent livability, Livability of region"
2441,Representativeness,"sampling error, Representativeness"
2442,Reviews of literature on measurement of happiness,"literature survey, Reviews of literature on measurement of happiness"
2443,Measures of life appraisals other than happiness,"invalid, Measures of life appraisals other than happiness"
2444,Preference for happiness in nation,"hedonism, value of happiness, Preference for happiness in nation"
2445,Attitude to happiness in nation,"stance to enjoyment of life, Attitude to happiness in nation"
2446,Sexual orientation,"lesbian, gay, homo, transgender, transsexual, Sexual orientation"
2447,Transsexuals,"gender dysphoria, gender identity disorder, sex-reassignment, Transsexuals"
2448,Step-children,"reconstituted family, Step-children"
2449,Medication,"drug, pharmacology, Medication"
2450,IQ,"school intelligence, test intelligence, IQ"
2451,Gifted,"genius, exceptionally intelligent, high IQ, Gifted"
2452,"Retarded, demented","learning disability, dull, Retarded, demented"
2453,Attitudes to the future,"expectations, fears, hopes, prospects,, Attitudes to the future"
2454,Attitudes to freedom,", Attitudes to freedom"
2455,Working time,", Working time"
2456,Sector,"branch, Sector"
2457,Unpaid work,", Unpaid work"
2458,Outdoor activities,"night life, Outdoor activities"
2459,Structure of satisfactions,"arrangement, organization, system, Structure of satisfactions"
2460,Integrate appraisals,"average, combine, mesh, sum, Integrate appraisals"
2461,Reflect an attitude,"echo, top-down, view, Reflect an attitude"
2462,Further issues,", Further issues"
2463,Effects on behavior,"action, conduct, performance, Effects on behavior"
2464,Effects on health,"salutogenic, Effects on health"
2465,Differences in effects of happiness,"conditional, contingent, context dependent, variable, Differences in effects of happiness"
2466,Views on one's own happiness,"attitude, belief, self, Views on one's own happiness"
2467,Topics in philosophy of happiness,"issues, questions, Topics in philosophy of happiness"
2468,Research infrastructure for happiness,"facilities, organization, Research infrastructure for happiness"
2469,Findings archive,"register of research findings, Findings archive"
2470,Topics of research,"subject, issue, question, Topics of research"
2471,Sources of bias,"distortion, inaccuracy, Sources of bias"
2472,Validity doubts,"qualms, reservations, Validity doubts"
2473,Comparison across populations,"publics, social, categories, Comparison across populations"
2474,Self report,"rating of own contentment, Self report"
2475,Formerly married,", Formerly married"
2476,Single,", Single"
2477,Kind of children,", Kind of children"
2478,Happiness and Family,"kin, relatives, Happiness and Family"
2479,Divorce,"separation, marital break-up, Divorce"
2480,Tax compliance in nation,"tax evasion, Tax compliance in nation"
2481,Authoritarian,"bold, Authoritarian"
2482,Degree,"thrifty, Degree"
2483,Law,"justice, rules, juridical, Law"
2484,Immigrants in region,"influx, newcomers, Immigrants in region"
2485,Planning of children,"birth control, Planning of children"
2486,unplanned child,"unwanted pregnancy, unplanned child"
2487,use of contraception,"condom, pill, IUD, use of contraception"
2489,Retirement,"pension, emeritus status, Retirement"
2490,Acceptance of homo-sex in nation,"bisexual, gay, lesbian, LTGB, same sex, Acceptance of homo-sex in nation"
2491,Adoption of child,"non-biological child, Adoption of child"
2492,Adopted children,", Adopted children"
2494,Childcare,"baby sitting, Childcare"
2495,Telework,"home work, internet, Telework"
2496,Perceived corruption in country,", Perceived corruption in country"
2497,Shift work,", Shift work"
2498,Difference between earlier expected and currently experienced  happiness,"earlier over-optimism, over-pessimism, earlier future realism, Difference between earlier expected and currently experienced  happiness"
2499,Attitudes to safety,"out of danger, secure, threat, Attitudes to safety"
2500,Thriving/suffering,"Gallup index of current + expected life-evaluation, Thriving/suffering"
2501,Models in religion,"happy believer, Models in religion"
2502,Pressure to be/act happy,"forced happiness, normative happiness, Pressure to be/act happy"
2503,Instrumental variable analysis,"causal inference, Instrumental variable analysis"
2504,Trend among working people,"work force, Trend among working people"
2505,Zest,", Zest"
2506,Ways to pursue happiness,"hedonic strategy, Orientations to Happiness Questionnaire OTH or OHQ, Ways to pursue happiness"
2507,Remoteness,"isolation, Remoteness"
2508,Energy,"fuel, electricity, Energy"
2509,Attitude to environmental protection,"climate conscious, Attitude to environmental protection"
2510,School involvement,"participation, School involvement"
2511,Single parent family,"child of divorce, lone parent child, one parent family back group, Single parent family"
2512,Attitudes to the economy,", Attitudes to the economy"
2513,Difference with folk concept,"ordinary use, lay concept, everyday concept,, Difference with folk concept"
2514,Seeing meaning,"meaningfulness, meaningful life, purpose in life, coherence, narrative,  fulfilment,  mission, calling,, Seeing meaning"
2515,Difference with other notions of well-being,"flourishing, quality of life, health, happiness, Difference with other notions of well-being"
2516,Role of narrative,"story, meaning, sense of coherence, Role of narrative"
2517,Tourist visits to  nation,"vacationers, tourism, Tourist visits to  nation"
2518,Micro-simulation,", Micro-simulation"
2519,Happiness and Travel behavior,"mobility, Happiness and Travel behavior"
2520,Happiness in patients,"disabled, handicapped, ill, sick, in treatment, Happiness in patients"
2521,Happiness in non-modern people,"ancient, hunter gatherers, primitive, traditional, past, indigenous, Happiness in non-modern people"
2522,Happiness in unemployed people,"jobless, Happiness in unemployed people"
2523,Happiness in working people,"employed, Happiness in working people"
2524,Job loss,"falling unemployed, Job loss"
2525,Unemployment of spouse,", Unemployment of spouse"
2526,Temperature,"cold, hot, warm, moderate, Temperature"
2527,Architecture,", Architecture"
2528,Uplifts,"cheer up,, Uplifts"
2529,Self-direction,"autonomy, psychological freedom, Self-direction"
2530,Wish to live,"vitality, love for life, Wish to live"
2531,Weak ties,"casual contacts, daily encounters, Weak ties"
2532,Communication of happiness,"expression, honesty, social desirability, Communication of happiness"
2533,Narcissism,"inflated self, Narcissism"
2534,Effects on frugality,"simple living, down-consuming (reverse overspending, indebting), Effects on frugality"
2535,Poverty in region,"low income, deprivation, Poverty in region"
2536,Sense of power,"powerless, Sense of power"
2537,Self-presentation,"public self, Self-presentation"
2538,Use for inferring preferences,"utility, want, need, Use for inferring preferences"
2539,Effects on personality development,"character change, Effects on personality development"
2540,Stressed (ICD code Z-73),"jittery, nervous, Stressed (ICD code Z-73)"
2541,Self-harm,"mutilation, suicide, Self-harm"
2543,Emotional differentiation,"mixed mood, different affect, Emotional differentiation"
2544,Autism (ICD ode F84),"autism spectrum disorder, Autism (ICD ode F84)"
2545,Effects on economy,"affluence, growth, Effects on economy"
2547,Similarity in happiness,"equality, sameness, Similarity in happiness"
2548,Non-western notions of health,"alternative, flourishing, Non-western notions of health"
2549,Ayurveda Prakrit health rating,"traditional Indian health philosophy, Ayurveda Prakrit health rating"
2550,Satisfaction with everything,"general satisfaction, Satisfaction with everything"
2551,Tax evasion,"cheating, Tax evasion"
2552,Crime in vicinity,"assault, gangs, theft,, Crime in vicinity"
2553,Sex-reassignment,"cross-sex treatment, gender dysphoria, gender identity disorder, gender incongruence, gender transformation,  transsexual, Sex-reassignment"
2554,Gender dysphoria (ICD code F64),"androgyne, cross-sex, gender identity disorder, gender incongruence, cross-dressing, transsexual, transvestite, queer, Gender dysphoria (ICD code F64)"
2555,Transgender,"androgen, transsexual, unisex, queer, Transgender"
2556,Inter sex,"androgynous, hermaphrodite, gender dysphoria, Inter sex"
2557,Addicts,"alcoholic, drug dependency, junky, Addicts"
2558,Cortisol level,"hormone, stress, Cortisol level"
2559,Self-control,"impulsive, Self-control"
2560,Child care,"creche, pre school, kindergarten, Child care"
2561,Difference across happiness levels,"non-linear, Difference across happiness levels"
2562,Similarity in wellbeing of spouses,"inequality of happiness in couple, similarity, Similarity in wellbeing of spouses"
2563,Custody of divorced parents,"childcare, Custody of divorced parents"
2564,Health in region,"public health, Health in region"
2565,Obesity in region,"overweight, Obesity in region"
2566,Marriage in region,"couples, married, Marriage in region"
2567,Effects on motivation,"aspirations, goals, preferences, wants, Effects on motivation"
2568,Group identification,"social identity, Group identification"
2569,Possibility of happiness,"feasibility, optimism, skepticism, Possibility of happiness"
2570,Satisfaction with safety,", Satisfaction with safety"
2571,Equivalent income in nation,"household adjusted income, Equivalent income in nation"
2572,Shared household work,"equal, non-specialization, Shared household work"
2573,Content-analysis of ego-documents,"biographies, diaries, letters, tweets, Content-analysis of ego-documents"
2574,What happiness most important?,"value of happiness, What happiness most important?"
2575,In age groups,"cohort,, generation, In age groups"
2576,Young adults,", Young adults"
2577,Attitude to nation,"national pride, nationalism, national identity, Attitude to nation"
2578,Difference in effects of affective and cognitive component,", Difference in effects of affective and cognitive component"
2579,ADHD (ICD code F90-F98),"attention deficit, conduct disorders, ADHD (ICD code F90-F98)"
2580,Perceived variability of happiness,"stability, traits, Perceived variability of happiness"
2581,Effects on giving,"altruism, Effects on giving"
2582,Macro level models,", Macro level models"
2583,Satisfaction with one's appearance,"beauty, body image, body satisfaction, Satisfaction with one's appearance"
2584,Answer time,"ease of response, Answer time"
2585,Social enterprises in vicinity,"local cooperatives, nonprofit, sustainable economy, Social enterprises in vicinity"
2586,Effects on materialism,"greed, Effects on materialism"
2587,Expropriation,"disowning, nationalization, Expropriation"
2588,Coping with conflict,", Coping with conflict"
2589,Satisfaction with food,"eating, tasting, Satisfaction with food"
2590,Happiness of parents,", Happiness of parents"
2591,Pain,"ache, Pain"
2592,Openness in nation,", Openness in nation"
2593,Family crisis,"broken home, illness, violence, mishap, Family crisis"
2594,Happiness and Particular Activities,"occupation, time use, work, Happiness and Particular Activities"
2595,Integration of minorities,"acceptance, acculturation, emancipation, Integration of minorities"
2596,Economic Stability in nation,"volatility, Economic Stability in nation"
2597,Can efficiency in use of resources for happiness be measured?,"policy effectiveness, Can efficiency in use of resources for happiness be measured?"
2598,Handicapped,"disabled, Handicapped"
2599,Sport events,"games, olympics, Sport events"
2600,In workforce (vs not),"child, student, disabled, retired, In workforce (vs not)"
2601,Being a student,"pupil, learner, Being a student"
2602,Physical activation,"exercise, move, sport, Physical activation"
2603,Side effects of happiness policy,"reactivity, unintended consequences, Side effects of happiness policy"
2604,Number of siblings,"borthers, sisters, Number of siblings"
2605,Power distance in nation,"authority, hierarchy, influence, stratification, Power distance in nation"
2606,Attitude to democracy,", Attitude to democracy"
2607,Importance of goals,"relevance, Importance of goals"
2608,Desired experience,"wanted feeling, Desired experience"
2609,Pre-natal conditions,"unborn, Pre-natal conditions"
2610,Medication of mother during pregnancy,"pharmaceutics, Medication of mother during pregnancy"
2611,Belief in hard work,"protestant ethic, work morale, Belief in hard work"
2612,Communication devices,"contact, electronics, Communication devices"
2613,Telephone,"mobile, iphone, smartphone, Telephone"
2614,Happiness and non-family intimate ties,"close contacts, Happiness and non-family intimate ties"
2615,Relation with colleagues,", Relation with colleagues"
2616,Relation with friends,"comrade, pal, Relation with friends"
2617,Relation with teachers,"coach, therapist, Relation with teachers"
2618,Civic behavior,"social, responsible, participative, Civic behavior"
2621,Stage of life,"phase, youth, middle age, Stage of life"
2622,Infectious and parasitic diseases,"ICD class: A-B, Infectious and parasitic diseases"
2623,Neoplasms (Cancer),"ICD class:  C-D, Neoplasms (Cancer)"
2624,"Endocrine, nutritional and metabolic diseases","ICD category: E, Endocrine, nutritional and metabolic diseases"
2625,"Diseases of blood, blood organs and certain immune mechanisms","ICD class: D, Diseases of blood, blood organs and certain immune mechanisms"
2626,"Mental, behavioral and neurodevelopmental disorders","mental illness, mental disturbance, mad, ICD class: f, Mental, behavioral and neurodevelopmental disorders"
2627,Diseases of the nervous system,"neurological, multiple sclerosis,  chronic pain, migraine, chronic headache, ICD class: G, Diseases of the nervous system"
2628,Diseases of the eye and adnexa,"bad sight, blind, ICD class: H, Diseases of the eye and adnexa"
2629,Diseases of the ear and mastoid process,"hearing, deaf, ICD class: H, Diseases of the ear and mastoid process"
2630,Diseases of the circulatory system,"heath disease, hypertension, stroke  ICD class: I, Diseases of the circulatory system"
2631,Diseases of the respiratory system,"lung disease, COPD,  ICD class: J, Diseases of the respiratory system"
2632,Diseases of the digestive system,"stomach, intestines, ICD class: K, Diseases of the digestive system"
2633,Diseases of the skin and subcutaneous tissue,"eczema, psoriasis, ICD class: L, Diseases of the skin and subcutaneous tissue"
2634,Diseases of the musculoskeletal system and connective tissue,"rheumatoid arthritis, joint complaints, ICD class: M, Diseases of the musculoskeletal system and connective tissue"
2635,Diseases of the genitourinary system,"renal, ICD class: N, Diseases of the genitourinary system"
2636,"Complication in pregnancy, childbirth and the puerperium","gynecology, obstetric, ICD class: O, Complication in pregnancy, childbirth and the puerperium"
2637,Conditions originating from the perinatal period,"ICD class: P, Conditions originating from the perinatal period"
2638,Congenital malformations and chromosomal abnormalities,"down syndrome, ICD class: Q, Congenital malformations and chromosomal abnormalities"
2639,Trauma,"ICD class: S-T, Trauma"
2640,Symptoms and test results not classified elsewhere,"chronic pain, sleep disorder, ICD class: R, Symptoms and test results not classified elsewhere"
2641,Health complaints,"symptoms, Health complaints"
2642,Fatigue,"exhaustion, lethargy, Fatigue"
2643,Itch,"soreness, Itch"
2644,Nausea,"revulsion, vomit, Nausea"
2645,Breast cancer,", Breast cancer"
2646,Prostate cancer,", Prostate cancer"
2647,"HIV infected, Aids","aids, HIV infected, Aids"
2648,Psoriasis,", Psoriasis"
2650,Renal failure,"kidney, Renal failure"
2651,Down syndrome,", Down syndrome"
2654,Sleepless,"insomnia, Sleepless"
2656,Tetraplegia,"broken neck, spinal cord injury, paralysis, Tetraplegia"
2657,Infertility,"childlessness, Infertility"
2658,Stroke,"CVA, cerebral infarction, Stroke"
2659,Sequela of illness and treatment,"consequence of previous disease or injury, long-term effect, Sequela of illness and treatment"
2660,Rheumatism,"arthritis, Rheumatism"
2661,Sex balance in nation,"m/f ratio, Sex balance in nation"
2662,Happiness of other people in neighborhood,"happy surrounding, Happiness of other people in neighborhood"
2663,Mood control,", Mood control"
2664,Relations with children,"social bond, social capital, family cohesion, Relations with children"
2665,Acceptance of artificial happiness,"illusory happiness, Nozick experience machine, Acceptance of artificial happiness"
2666,Expense on education in region,"investment in schooling, Expense on education in region"
2667,Institutional quality in region,"government effectiveness, good governance, Institutional quality in region"
2668,children,", children"
2670,Vagal tone,"heart rhythm, Vagal tone"
2671,Envious,"jealous, Envious"
2672,Happiness of students in nations,"academia, school, university, Happiness of students in nations"
2673,Novelty seeking,"interest, Novelty seeking"
2674,Similarity in concomitants of happiness,"shared conditions for happiness, Similarity in concomitants of happiness"
2675,Love of life,", Love of life"
2676,left/right hemisphere asymmetry,", left/right hemisphere asymmetry"
2677,Delphi study,"expert's views, Delphi study"
2682,Happiness and well-being,"flourishing, thriving, happiness, eudaimonia, quality of life, prudential value, Happiness and well-being"
2683,Birth history,"delivery, infancy, Birth history"
2684,Happiness in retirees,"pension, emeritus, stopped working, Happiness in retirees"
2685,Models in politics,", Models in politics"
2686,Configuration,"trait combinations, Configuration"
2687,Body image,"self perceived physiognomy, Body image"
2688,Education in region,"schooling, Education in region"
2690,Want children,"child wish, precreation, Want children"
2691,Effects on social capital in community,"local social ties, Effects on social capital in community"
2692,urban growth/shrink,"city decline, urban growth/shrink"
2693,Sufficient water intake,"drinking of elderly, Sufficient water intake"
2694,inequality of opportunities in nation,"unequal life chances, advantage, disadvantage, deprivation, inequality of opportunities in nation"
2695,Acceptance of ways to happiness,"attitude to happiness strategies, Acceptance of ways to happiness"
2696,Relative to other values,"value priority of happiness, Relative to other values"
2697,Belief that possessions make happy,"materialism, Belief that possessions make happy"
2698,Entrepreneur,"business, self-employed, Entrepreneur"
