TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Impact of Occupational Demands on Non Work Experiences.","Burke, R.J.; Weir, T.","1981"
"Benefit to Adolescents of Informal Helping Relationships with Their Parents and Peers.","Burke, R.J.; Weir, T.","1978"
"The Type A Experiences: Occupational and Life Demands, Satisfaction and Well-Being.","Burke, R.J.; Weir, T.","1980"
"Maternal Employment Status, Social Support and Adolescent Well-Being.","Burke, R.J.; Weir, T.","1978"
"Marital Helping Relationships: The Moderators between Stress and Well-Being.","Burke, R.J.; Weir, T.","1977"
"Helping Responses of Parents and Peers and Adolescent Well-Being.","Burke, R.J.; Weir, T.","1979"
"Perceived Type A Behaviour of Husbands' and  Wife's' Satisfaction and Well-Being.","Burke, R.J.; DuWors, R.E.; Weir, T.","1980"
"Type A Behavior of Administrators and Wives' Reports of Marital Satisfaction and Well-Being.","Burke, R.J.; DuWors, R.E.; Weir, T.","1979"
"Work Demands on Administrators and Spouse Well-Being.","Burke, R.J.; DuWors, R.E.; Weir, T.","1980"
"Disclosure of Problems and Tensions Experienced by Marital Partners.","Burke, R.J.; Harrison, D.; Weir, T.","1976"
"Structures of Well-Being: Sufficient Conditions for Identification as Restricted Covariance Models.","Burt, R.S.; Christman, K.P.; Fisher, M.G.","1979"
"Structure of Well-Being: Form, Content, and Stability over Time.","Burt, R.S.; Minor, M.J.; Murray, J.R.; Wiley, J.A.","1978"
"Factors in Age Awareness.","Busse, E.W.; Jeffers, F.C.; Obrist, W.D.","1970"
"Ideology and Social Indicators of the Quality of Life.","Buttel, F.H.; Martinson, O.B.; Wilkening, E.A.","1977"
"Letting the Inmates run the Asylum: The Effects of Control and Choice on the Institutional Lives of Older Adults.","Byrd, M.","1983"
"Single Women, Voluntary Childlessness and Perception about Life and Marriage.","Callan, V.J.","1986"
"The Personal and Marital Adjustment of Mothers and of Voluntary and Involuntary Childless Wives.","Callan, V.J.","1987"
"Stereotypes about Generational Fun and Happiness vs. Self-Appraised Fun and Happiness.","Cameron, P.","1972"
"Social Stereotypes: 3 Faces of Happiness.","Cameron, P.","1974"
"Ego Strength and Happiness of the Aged.","Cameron, P.","1967"
"Mood as an Indicant of Happiness: Age, Sex, Social Class and Situational Differences.","Cameron, P.","1975"
"Happiness or Life Satisfaction of the Malformed.","Cameron, P.; Kostin, M.; VanHoeck, D.; Weiss, N.","1971"
"The Life Satisfaction of Non-Normal Persons.","Cameron, P.; Kostin, J.; Kostin, M.; Titus, D.G.","1973"
"Subjective Measures of Well-Being.","Campbell, A.","1976"
"Quality of Life as a Psychological Phenomenon.","Campbell, A.","1972"
"The Sense of Well-Being in America.","Campbell, A.","1981"
"The Quality of American Life. Perceptions, Evaluations, and Satisfactions.","Campbell, A.; Converse, P.E.; Rodgers, W.L.","1976"
"On the Absolute or Relative Basis of Perception: The Case for Middle Class Identification.","Cannon, L.W.","1980"
"The Pattern of Human Concern.","Cantril, H.","1965"
"Hopes and Fears of the American People.","Cantril, H.; Roll, C.W.","1971"
"Social Effects of diazepam Use: A longitudinal Field Study.","Caplan, R.D.; Abbey, A.; Abramis, D.J.; Andrews, F.M.; Conway, T.L.","1985"
"The Religious Drop-outs.","Caplovitz, D.; Sherrow, F.","1977"
"Happiness is Being Married.","Cargan, L.","1980"
"Marriage in East and West.","Cargan, L.; Hamura, S.; Sakai, T.","1989"
"Leisure Time and Happiness: A Cross-cultural Comparison of East and West.","Cargan, L.; Hamura, S.; Sakai, T.","1989"
"Loneliness and Health: An East-West Marriage Comparison.","Cargan, L.; Hamura, S.; Sakai, T.","1989"
"Singles: Myths and Realities.","Cargan, L.; Melko, M.","1982"
"Adjustment Differences in the Divorced and the Redivorced.","Cargan, L.; Whitehurst, R.N.","1990"
"Cognitive Structure, Goal Characteristics and Life Satisfaction Following Spinal Cord Injury.","Carlson, C.E.","1974"
"The Affective Tone of Psychology.","Carlson, E.R.","1966"
"Short-term and Long-term Prediction of Adjustment to a New Environment.","Carp, F.M.","1974"
"Impact of Improved Housing on Morale and Life Satisfaction.","Carp, F.M.","1975"
"Mental Health Characteristics and Acceptance-Rejection of Old Age.","Carp, F.M.; Carp, A.","1981"
"Structural Stability of Well-Being Factors across Age and Gender and Development of Scales of Well-Being Unbiased for Age and  Gender.","Carp, F.M.; Carp, A.","1983"
"Equity and Satisfaction among the Elderly.","Carp, F.M.; Carp, A.; Millsap, R.","1982"
"Children's Attitudes toward the Elderly: An Intergenerational Technique for Change.","Carstensen, L.L.; Caldwell, E.C.; Mason, S.","1982"
"Assessing Interviewer Effects in a Longitudinal Study of Bereaved Elderly Adults.","Caserta, M.S.; Dimond, M.F.; Lund, D.A.","1985"
"General Curves and Conditions of Feeling.","Cason, H.","1931"
"Life Satisfaction in Old Age: Linking Social Psychology and History.","Caspi, A.; Elder, G.H.","1986"
"Psychological Aspects of Happiness.","Cassel, R.N.","1954"
"Maternal Care and Infant Behavior in Japan and America.","Caudill, W.C.; Weinstein, H.","1969"
"Personal Adjustment in Old Age.","Cavan, R.S.; Burgess, E.W.; Goldhamer, H.; Havighurst, R.J.","1949"
"Bonheur et Civilisation.","Cazeneuve, J.","1966"
"Psychologie de la Joie.","Cazeneuve, J.","1962"
"Job and Life Satisfactions: A Causal Analysis of Their Relationships.","Chacko, T.I.","1983"
"Theoretical Issues in the Study of Well-Being.","Chamberlain, K.; Zika, S.","1984"
"On the Structure of Subjective Well-Being.","Chamberlain, K.","1988"
"Value Dimensions, Cultural Differences and the Prediction of Perceived Quality of Life.","Chamberlain, K.","1985"
"Stability and Change in Subjective Well-Being over Short Time Periods.","Chamberlain, K.; Zika, S.","1992"
"Life Changes and Adjustment in Old Age.","Chandrika, P.; Anantharaman, R.N.","1982"
"Activity and Affect among the Aged.","Chang, R.H.; Dodder, R.A.","1984"
"Conceptions of States and Traits: Dimensional Attributes with Ideals as Prototypes.","Chaplin, W.F.; Goldberg, L.R.; Oliver, P.J.","1988"
"Old and Female: Testing the Double Jeopardy Hypothesis.","Chappell, N.L.; Havens, B.","1980"
"Social Isolation and Well-Being.","Chappell, N.L.; Badger, M.","1989"
"A Comparison of Social Interest among Service-Oriented  Professionals, Prisoners and Psychiatric Patients.","Chason, K.J.","1975"
"The Experience Variables: A Study of the Variable Factors in Experience Contributing to the Formation of Personality.","Chassell, J.O.","1928"
"Role Stress in Working Women: Differential Effect on Selected Organizational Outcomes.","Chassie, M.B.; Bhagat, R.S.","1980"
"Economic and Sociological Factors Influencing Life Satisfaction of the Aged.","Chatfield, W.F.","1977"
"The Concept of Happiness.","Chekola, M.G.","1974"
"Subjective Quality of Life in the Planning and Evaluation of Programs.","Cheny, S.T.","1988"
"The Dimensions of Psychological Well-Being: A Critical Review.","Cherlin, A.; Reeder, L.G.","1975"
"The Use of Transcendental Meditation as Therapy with Juvenile Offenders.","Childs, J.P.","1973"
"Major Trends of Families and their Mental Health in the U.S.A., 1957-1978.","Chilman, C.S.","1982"
"Life Satisfaction in the EC Countries, 1975-1984.","Chin-Hon-Foei, S.","1989"
"Life Event Weighting Systems: A Comparative Analysis.","Chiriboga, D.A.","1977"
"Evaluated Time: A Life Course Perspective.","Chiriboga, D.A.","1978"
"Social Stressors as Antecedents of Change.","Chiriboga, D.A.","1984"
"Consistency in Adult Functioning. The Influence of Stress.","Chiriboga, D.A.","1982"
"Stress and Loss in Middle Age.","Chiriboga, D.A.","1989"
"Adaptation to Marital Separation in Later and Earlier Life.","Chiriboga, D.A.","1982"
"Stress Responses among Divorcing Men and Women.","Chiriboga, D.A.; Cutler, L.","1977"
"Psychological Correlates of Perceived Well-being.","Chiriboga, D.A.; Lowenthal, M.F.","1971"
"Psychological Well-Being During Marital Separation.","Chiriboga, D.A.; Roberts, J.; Stein, J.A.","1978"
"Marital Lifestyles and Adjustment to Separation.","Chiriboga, D.A.; Thurnher, M.","1980"
"Autonomic Arousal Feedback and Emotional Experience: Evidence from the Spinal Cord Injured.","Chwalisz, K.; Diener, E.; Gallagher, D.","1988"
"Political Alienation as a Social-Indicator. Attitudes and Action.","Citrin, J.","1977"
"Mood and the Mundane: Relations between Daily Life Events and Self Reported Mood.","Clark, L.A.; Watson, D.","1988"
"Culture and Aging. An Anthropological Study of Older Americans.","Clark, M.M.; Anderson, B.G.","1967"
"Observational Study of Quality of Life in N.H.S. Nursing Homes and a Long-Stay Ward for the Elderly.","Clark, P.; Bowling, A.P.","1989"
"Quality of Everyday Life in Long-Stay Institutions for the Elderly. An Observational Study of Long Stay Hospital and Nursing Home Care.","Clark, P.; Bowling, A.P.","1990"
"The Consequences of Being an Only Child: An Analysis of Project Talent Data.","Claudy, J.G.; Dayton, C.W.; Farrell, W.S.","1980"
"Sex Differences in Psychological Distress among Married People.","Cleary, P.D.; Mechanic, D.","1983"
"Racial Differences in Life Satisfaction.","Clemente, F.; Sauer, W.J.","1976"
"Race and Morale of the Urban Aged.","Clemente, F.; Sauer, W.J.","1974"
"Life Satisfaction in the United States.","Clemente, F.; Sauer, W.J.","1976"
"De la Variation de Quelques Traits de Personalité en Fonction, notamment, de  l'Age, du Sexe et du Niveau Intellectuel.","Clement, F.J.","1980"
"Choice of Defense Mechanisms and Their Relationship to Mood Level","Clum, G.A.; Clum, J.","1973"
"Improving the Quality of Life during Chemotherapy for Advanced Cancer Patients.","Coates, A.S.; Bishop, J.F.; Gebski, V.; Jeal, P.N.; Woods, R.L.","1987"
"Influences on the Life Satisfaction of Never-Married Men and Women.","Cockrum, J.; White, P.","1985"
"Community Stressors, Mediating Conditions and Well-Being in Urban Neighbourhoods.","Cohen, P.; Genevie, L.E.; Kaplan, S.R.; Muhlin, G.R.; Struening, E.L.","1982"
"Age and the Satisfactions from Work.","Cohn, R.M.","1979"
"Impact of Work on Women at Midlife.","Coleman, L.M.; Antonucci, T.C.","1983"
"Role-Involvement, Gender, and Well-Being.","Coleman, L.M.; Adelmann, P.K.; Antonucci, T.C.","1987"
"Measuring Reminiscence Characteristics from Conversation as Adaptive Features of Old Age.","Coleman, P.G.","1974"
"The Manipulation of Self-esteem. A Determinant of Elation-Depression.","Coleman, R.E.","1970"
"General Well-Being in Adolescents: Its Nature and Measurement.","Colombo, S.A.","1984"
"Reply: Social Desirability and the Measurement of Psychological  Well-Being in the Elderly Persons.","Cone, J.D.; Carstensen, L.L.","1985"
"Structural Effects and Life Satisfaction among the Aged.","Conner, K.A.; Powers, E.A.","1975"
"Social Interaction and Life Satisfaction: An Empirical Assessment of Late-Life Patterns.","Conner, K.A.; Bultena, G.L.; Powers, E.A.","1979"
"The Construct Validity of the Life-Satisfaction Index A and Affect Balance Scales: A Serendipitous Analysis.","Connidis, I.","1984"
"Perceived Instrumentality of the College as a Measure of Attitudes toward College.","Constantinople, A.P.","1967"
"Some Correlates of Happiness and Unhappiness in College Students.","Constantinople, A.P.","1965"
"Role Continuity or Crisis in Later Life? A Corsican Case.","Cool, L.E.","1981"
"The Sources of Stress on the Wives of Commercial Airline Pilots.","Cooper, C.L.; Sloan, S.","1985"
"The Elderly Market and Life Satisfaction: An Opportunity for Renewed Marketing.","Cooper, P.D.","1987"
"Neuroticism, Coronary Artery Disease, and Chest Pain Complaints: Cross-Sectional and Longitudinal Studies.","Costa, P.T.; Fleg, J.L.; Lakatta, E.G.; McCrae, R.R.","1982"
"An Approach to the Attribution of Aging, Period and Cohort Effects.","Costa, P.T.; McCrae, R.R.","1982"
"Personality as a Lifelong Determinant of Well-Being.","Costa, P.T.; McCrae, R.R.","1984"
"Influence of Extraversion and Neuroticism on Subjective Well-Being: Happy and Unhappy People.","Costa, P.T.; McCrae, R.R.","1980"
"Personal Adjustment to Aging: Longitudinal Prediction from  Neuroticism and Extraversion.","Costa, P.T.; McCrae, R.R.; Morris, A.H.","1981"
"Environmental and Dispositional Influences on Well-being: Longitudinal Follow-up of an American National Sample.","Costa, P.T.; McCrae, R.R.; Zonderman, A.B.","1987"
"Longitudinal Course of Social Support among Men in the Baltimore Longitudinal Study of Aging.","Costa, P.T.; McCrae, R.R.; Zonderman, A.B.","1985"
"Longitudinal Analyses of Psychological Well-Being in a National Sample: Stability of Mean  Levels.","Costa, P.T.; McCrae, R.R.; Zonderman, A.B.","1987"
"Role Continuity and Life Satisfaction among a Population of Aged.","Costen, R.W.","1975"
"The Quality of Life of Kentucky Farm Families.","Coughenour, C.M.","1986"
"Quality of Life Perceptions and Farm Structure.","Coughenour, C.M.; Tweeten, L.","1986"
"Stress and Personal Attitudes in Chronic Illness.","Counte, M.A.; Bieliauskas, L.A.; Pavlou, M.","1983"
"The Quality of Survival in Breast Cancer: A Case-Control Comparison.","Craig, T.J.; Comstock, G.W.; Geiser, P.B.","1974"
"Family Strength and Family Satisfaction: Some Racial Comparisons.","Cramer, M.R.","1979"
"Sex, Age, and Stress as Moderators for the Relation between Social Interest and Well-Being.","Crandall, J.E.; Kytonen, J.A.","1980"
"Social Interest and Time Orientation, Childhood Memories, Adjustment and Crime.","Crandall, J.E.; Reimanis, G.","1976"
"Validation of Self-Report Measures Using Ratings by Others.","Crandall, R.","1976"
"Emotion and Gender-Constructing Meaning from Memory.","Crawford, J.; Benton, P.; Gault, U.; Kippax, S.; Onyx, J.","1992"
"Eudology: The Science of Happiness.","Creel, R.E.","1983"
"The Contribution of Marriage to the Life Satisfaction of Black Adults.","Creighton-Zollar, A.; Sherwood-Williams, J.","1987"
"A Needs Assessment of Perceived Life Quality and Life Stressors among Medical Hospital Employees.","Cresswell, D.L.; Corre, B.H.; Zautra, A.J.","1981"
"Rurality and Well-Being during the Middle Years of Life.","Crider, D.M.; Kanagy, C.L.; Willits, F.K.","1991"
"Romantic Attraction and Happiness.","Critelli, J.W.","1977"
"Effects of Stress and Social Support on Mothers and Premature and Full-term Infants.","Crnic, K.A.; Basham, R.B.; Greenberg, M.T.; Ragozin, A.S.; Robinson, N.M.","1983"
"Maternal Stress and Social Support: Effects on the Mother-Infant Relationship from Birth to Eighteen Months.","Crnic, K.A.; Greenberg, M.T.; Ragozin, A.S.; Robinson, N.M.","1984"
"A Model of Egoistical Relative Deprivation.","Crosby, F.J.","1976"
"Flow. The Psychology of Optimal Experience.","Csikszentmihalyi, M.","1990"
"Beyond Boredom and Anxiety.","Csikszentmihalyi, M.","1975"
"A ""Columbus Fallacy"".","Csikszentmihalyi, M.","1983"
"Optimal Experience. Psychological Studies of Flow in Consciousness.","Csikszentmihalyi, M.; Csikszentmihalyi, I.S.","1988"
"Being Adolescent: Conflict and Growth in Teenage Years.","Csikszentmihalyi, M.; Larson, R.","1984"
"What is ""Morale""? A Case History of a Validity Problem.","Cumming, E.; Dean, L.R.; Newell, D.S.","1958"
"Growing Old: The Process of Disengagement.","Cumming, E.; Henry, W.E.","1961"
"The Effects of Nursing Home Size on Resident Isolation and Life Satisfaction.","Curry, T.J.; Ratliff, B.W.","1973"
"Life-Satisfaction in the Later Years: A Cross-Cultural Investigation.","Curtis-Boles, H.A.","1984"
"Random Living Schedule: Psychological Effects in Man.","Curtis, G.E.; Fogel, M.L.","1972"
"Voluntary Association Participation and Life Satisfaction: Replication, Revision, and Extension.","Cutler, N.E.","1981"
"Membership in Different Types of Voluntary Associations and Psychological Well-Being.","Cutler, S. .","1976"
"The Availability of Personal Transportation, Residential Location, and Life Satisfaction among the Aged.","Cutler, S. .","1972"
"Voluntary Association, Participation and Life Satisfaction: A Cautionary Research Note.","Cutler, S. .","1973"
"Transportation and Changes in Life Satisfaction.","Cutler, S. .","1975"
"Age Differences in Life Satisfaction as a Function of Discrepancy between Real and Ideal Self Concepts.","Czaja, S.J.","1975"
"Illusions and Biases in Psychological Well-Being: An 'Onion'Theory of Happiness.","Czapinski, J.","1991"
